longitude,latitude,elevation
17.0180555556,51.0655555556,124
17.0183333333,51.0655555556,124
17.0186111111,51.0655555556,124
17.0188888889,51.0655555556,125
17.0191666667,51.0655555556,124
17.0194444444,51.0655555556,123
17.0197222222,51.0655555556,123
17.0200000000,51.0655555556,124
17.0202777778,51.0655555556,125
17.0205555556,51.0655555556,126
17.0208333333,51.0655555556,126
17.0211111111,51.0655555556,126
17.0213888889,51.0655555556,126
17.0216666667,51.0655555556,125
17.0219444444,51.0655555556,125
17.0222222222,51.0655555556,125
17.0225000000,51.0655555556,125
17.0227777778,51.0655555556,126
17.0230555556,51.0655555556,126
17.0233333333,51.0655555556,127
17.0236111111,51.0655555556,127
17.0238888889,51.0655555556,126
17.0241666667,51.0655555556,126
17.0244444444,51.0655555556,126
17.0247222222,51.0655555556,126
17.0250000000,51.0655555556,125
17.0252777778,51.0655555556,125
17.0255555556,51.0655555556,125
17.0258333333,51.0655555556,125
17.0261111111,51.0655555556,126
17.0263888889,51.0655555556,126
17.0266666667,51.0655555556,125
17.0269444444,51.0655555556,124
17.0272222222,51.0655555556,123
17.0275000000,51.0655555556,123
17.0277777778,51.0655555556,123
17.0280555556,51.0655555556,124
17.0283333333,51.0655555556,125
17.0286111111,51.0655555556,125
17.0288888889,51.0655555556,125
17.0291666667,51.0655555556,125
17.0294444444,51.0655555556,125
17.0297222222,51.0655555556,125
17.0300000000,51.0655555556,125
17.0302777778,51.0655555556,125
17.0305555556,51.0655555556,126
17.0308333333,51.0655555556,126
17.0311111111,51.0655555556,125
17.0313888889,51.0655555556,125
17.0316666667,51.0655555556,124
17.0319444444,51.0655555556,124
17.0322222222,51.0655555556,124
17.0325000000,51.0655555556,124
17.0327777778,51.0655555556,125
17.0330555556,51.0655555556,126
17.0333333333,51.0655555556,127
17.0336111111,51.0655555556,127
17.0338888889,51.0655555556,126
17.0341666667,51.0655555556,126
17.0344444444,51.0655555556,125
17.0347222222,51.0655555556,125
17.0350000000,51.0655555556,125
17.0352777778,51.0655555556,125
17.0355555556,51.0655555556,125
17.0358333333,51.0655555556,125
17.0361111111,51.0655555556,125
17.0363888889,51.0655555556,125
17.0366666667,51.0655555556,125
17.0369444444,51.0655555556,125
17.0372222222,51.0655555556,125
17.0375000000,51.0655555556,125
17.0377777778,51.0655555556,124
17.0380555556,51.0655555556,124
17.0383333333,51.0655555556,125
17.0386111111,51.0655555556,125
